Year,Month,UnempRate,UnempNetChange,UnempGrowth,AdjParty,AdjPresidents,Party,Presidents,NPEmployment,NPENetChange,EmpGrowth,GDP,GDPGrowth,ConsSentiment,Productivity,Inflation,FedFundIntRate,M2,Spending,TotalTaxRev,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1955,11,4.2,-0.1,-0.023255814,Republican,Eisenhower,Republican,Eisenhower,51592,161,0.313040773,437.8,6.5,99.7, ,0.4,2.35, , , ,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1955,12,4.2,0,0,Republican,Eisenhower,Republican,Eisenhower,51805,213,0.412854706,437.8,6.5, ,-1.2,0.4,2.48, ,110.72,65451,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1956,1,4,-0.2,-0.047619048,Republican,Eisenhower,Republican,Eisenhower,51975,170,0.328153653,440.5,2.5, , ,0.4,2.45, , , ,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1956,2,3.9,-0.1,-0.025,Republican,Eisenhower,Republican,Eisenhower,52167,192,0.369408369,440.5,2.5, , ,0.4,2.5, , , ,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1956,3,4.2,0.3,0.076923077,Republican,Eisenhower,Republican,Eisenhower,52295,128,0.245365844,440.5,2.5, ,-4.8,0.4,2.5, , , ,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1956,4,4,-0.2,-0.047619048,Republican,Eisenhower,Republican,Eisenhower,52375,80,0.152978296,446.8,5.8, , ,0.7,2.62, , , ,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1956,5,4.3,0.3,0.075,Republican,Eisenhower,Republican,Eisenhower,52506,131,0.250119332,446.8,5.8,98.2, ,1.1,2.75, , , ,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1956,6,4.3,0,0,Republican,Eisenhower,Republican,Eisenhower,52584,78,0.148554451,446.8,5.8, ,1.8,1.9,2.71, , , ,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1956,7,4.4,0.1,0.023255814,Republican,Eisenhower,Republican,Eisenhower,51954,-630,-1.198083067,452,4.7, , ,2.2,2.75, , , ,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1956,8,4.1,-0.3,-0.068181818,Republican,Eisenhower,Republican,Eisenhower,52630,676,1.301151018,452,4.7,99.9, ,1.9,2.73, , , ,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1956,9,3.9,-0.2,-0.048780488,Republican,Eisenhower,Republican,Eisenhower,52601,-29,-0.055101653,452,4.7, ,0,1.9,2.95, , , ,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1956,10,3.9,0,0,Republican,Eisenhower,Republican,Eisenhower,52781,180,0.342198818,461.3,8.5, , ,2.2,2.96, , , ,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1956,11,4.3,0.4,0.102564103,Republican,Eisenhower,Republican,Eisenhower,52822,41,0.077679468,461.3,8.5,100.2, ,2.2,2.88, , , ,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1956,12,4.2,-0.1,-0.023255814,Republican,Eisenhower,Republican,Eisenhower,52930,108,0.204460263,461.3,8.5, ,4.3,3,2.94, ,115.8,74587,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1957,1,4.2,0,0,Republican,Eisenhower,Republican,Eisenhower,52888,-42,-0.079350085,470.6,8.3, , ,3,2.84, , , ,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1957,2,3.9,-0.3,-0.071428571,Republican,Eisenhower,Republican,Eisenhower,53097,209,0.395174709,470.6,8.3, , ,3.4,3, , , ,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1957,3,3.7,-0.2,-0.051282051,Republican,Eisenhower,Republican,Eisenhower,53157,60,0.113000735,470.6,8.3, ,4.6,3.7,2.96, , , ,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1957,4,3.9,0.2,0.054054054,Republican,Eisenhower,Republican,Eisenhower,53238,81,0.152378802,472.8,1.9, , ,3.7,3, , , ,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1957,5,4.1,0.2,0.051282051,Republican,Eisenhower,Republican,Eisenhower,53149,-89,-0.167173823,472.8,1.9,92.9, ,3.7,3, , , ,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1957,6,4.3,0.2,0.048780488,Republican,Eisenhower,Republican,Eisenhower,53066,-83,-0.156164744,472.8,1.9, ,-1.5,3.3,3, , , ,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1957,7,4.2,-0.1,-0.023255814,Republican,Eisenhower,Republican,Eisenhower,53123,57,0.10741341,480.3,6.5, , ,3.3,2.99, , , ,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1957,8,4.1,-0.1,-0.023809524,Republican,Eisenhower,Republican,Eisenhower,53126,3,0.005647271,480.3,6.5, , ,3.7,3.24, , , ,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1957,9,4.4,0.3,0.073170732,Republican,Eisenhower,Republican,Eisenhower,52932,-194,-0.365169597,480.3,6.5, ,5.8,3.3,3.47, , , ,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1957,10,4.5,0.1,0.022727273,Republican,Eisenhower,Republican,Eisenhower,52765,-167,-0.315499131,475.7,-3.8, , ,2.9,3.5, , , ,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1957,11,5.1,0.6,0.133333333,Republican,Eisenhower,Republican,Eisenhower,52559,-206,-0.39041031,475.7,-3.8,83.7, ,3.3,3.28, , , ,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1957,12,5.2,0.1,0.019607843,Republican,Eisenhower,Republican,Eisenhower,52385,-174,-0.331056527,475.7,-3.8, ,1.3,2.9,2.98, ,125.46,79990,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1958,1,5.8,0.6,0.115384615,Republican,Eisenhower,Republican,Eisenhower,52077,-308,-0.587954567,468.4,-6, , ,3.6,2.72, , , ,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1958,2,6.4,0.6,0.103448276,Republican,Eisenhower,Republican,Eisenhower,51576,-501,-0.962036984,468.4,-6,78.5, ,3.2,1.67, , , ,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1958,3,6.7,0.3,0.046875,Republican,Eisenhower,Republican,Eisenhower,51300,-276,-0.53513262,468.4,-6, ,-5.4,3.6,1.2, , , ,,,,,,,,,,,,,,,,,,,,,,,,,,,,
